ref,Title,Publication date,Authors,Publisher EN,Publisher FR,Publisher SP,Country EN,Country FR,Country SP,Language of the document,File Name
90,COMESA Regulations on the Application of Sanitary and Phytosanitary Measures,2009,Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA),Marché commun de l'Afrique orientale et australe (COMESA),Common Market for Eastern and Southern Africa (COMESA),,,,EN,Regulations on the Application of Sanitary and Phytosanitary Measures - COMESA.pdf
91,"Comments on commission communication ""A new strategy for the European Union (2007-2013)""",2007,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Comments on commission communication a new strategy for the European Union (2007-2013).pdf
92,Commercial Opportunities for Fruit in Malawi,2009,L. Faulkner; J. Harrington; D. Levy; K. The,World Agroforestry Centre,World Agroforestry Centre,World Agroforestry Centre,Malawi,Malawi,Malawi,EN,Commercial Opportunities for Fruit in Malawi.pdf
93,Commodity Based Trade - Economic implications for the Caprivi region in Namibia,2011,Diego Naziri,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),Namibia,Namibie,Namibia,EN,Commodity Based Trade Economic implications for the Caprivi region in Namibia.pdf
94,Complying with the clauses of the SPS Agreement: Case of a developing country,2009,S.A. Neeliah; D. Goburdhun,Elsevier Ltd,Elsevier Ltd,Elsevier Ltd,Mauritius,Maurice,Mauricio,EN,Complying with the clauses of the SPS Agreement - Case of a developing country.pdf
95,Co-regulation as a possible model for food safety governance : Opportunities for public-private partnerships,2006,Marian Garcia Martinez; Andrew Fearne; Julie A. Caswell; Spencer Henson,Elsevier Ltd,Elsevier Ltd,Elsevier Ltd,Canada; United Kingdom; United States,Canada;Royaume-Uni;Etats-Unis,Canad�;Reino Unido;Estados Unidos,EN,Co-regulation as a possible model for food safety governance - Opportunities for public-private partnerships.pdf
96,Cost Benefit Analysis of the Pink Hibiscus Mealybug Project in Belize,2009,Hernan Zetina,Belize Agricultural Health Authority,Belize Agricultural Health Authority,Belize Agricultural Health Authority,Belize,Belize,Belice,EN,Cost Benefit Analysis of the Pink Hibiscus Mealybug Project in Belize.pdf
97,Cost benefit analysis procedures to be applied to unwanted organisms or pest responses,1999,John Mumford,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Cost benefit analysis procedures to be applied to unwanted organisms or pest responses.doc
98,Cost of National Prevention Systems for Animal Diseases and Zoonoses in Developing and Transition Countries,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Costs of national prevention systems for animal diseases and zoonoses in developing and transition countries (powerpoint).pdf
99,Cost/Benefit Analysis and SPS-Related Technical Assistance,2011,Spencer Henson,University of Guelph; University of Sussex,University of Guelph; University of Sussex,University of Guelph; University of Sussex,,,,EN,Cost-Benefit Analysis and SPS-Related Technical Assistance.pptx
100,Costs and benefits in food quality Systems : concepts and a multi-criteria evaluation approach,2007,Stephanie Krieger; Gerhard Schiefer; Carlos A. da Silva,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Costs and benefits in food quality Systems - concepts and a multi-criteria evaluation approach.pdf
101,"Costs of Agri?Food Safety and SPS Compliance - United Republic of Tanzania, Mozambique and Guinea - Tropical Fruit",2005,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),Guinea; Mozambique; Tanzania,Guinée; Mozambique; Tanzanie,Guinea; Mozambique; Tanzanía,EN,"Costs of Agri?Food Safety and SPS Compliance - United Republic of Tanzania, Mozambique and Guinea - Tropical Fruit.pdf"
102,Costs of National Prevention Systems for National Diseases and Zoonoses - Transitional and Developing Countries,2009,Civic Consulting,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,OIE Costs of National Prevention Systems for National Diseases and Zoonoses - Transitional and Developing Countries.pdf
103,Cross border and HPAI risk management - Importance of understanding the poultry sector in Yunnan province with regards to risk,,Nicoline de Haan; Johnathan Rushton,University of London,University of London,University of London,China,Chine,China,EN,Cross border and HPAI risk management.tif
104,Deciphering OIE Animal Disease Reports,,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Deciphering OIE Animal Disease Reports.pdf
105,Deciphering OIE's standard setting process,,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Deciphering OIE's standard setting process.pdf
106,"Desempe�o, visión y estrategia (DVE) para medidas sanitarias y fitosanitarias: una visión institucional",2008,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,DVE_MSF_Espanol.pdf
107,"Desempe�o, visión y estrategia (DVE) para organizaciones nacionales de protección fitosanitarias",2007,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,DVE-Fitosanitario.pdf
108,"Desempe�o, visión y estrategia (DVE) para servicios nacionales de inocuidad de alimentos",2006,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,DVE-inocuidad.pdf
109,"Desempe�o, visión y estrategia (DVE) para servicios veterinarios nacionales",2008,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,DVE-SVN-ESP-2.1.pdf
110,Designing and Implementing Trade Facilitation in Asia and the Pacific,2009,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,Designing and Implementing Trade Facilitation in Asia and the Pacific.pdf
111,Developing a Methodology for Impact Evaluation At UNIDO: Possible Routes And Options,2008,Lilit Melikyan,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,DEVELOPING A METHODOLOGY FOR IMPACT EVALUATION AT UNIDO - POSSIBLE ROUTES AND OPTIONS.pdf
112,Development of an Effective Phytosanitary Regulatory System Framework for WTO SPS Compliance,2009,M. Theyse,University of Pretoria (UP),University of Pretoria (UP),University of Pretoria (UP),Malawi; South Africa,Malawi; Afrique du Sud,Malawi; Sud�frica,EN,Development of an Effective Phytosanitary Regulatory System Framework for WTO SPS Compliance.pdf
113,Didymosphenia geminate economic impact assessment,2006,Johannah Branson,New Zealand Institute of Economic Research (NZIER),New Zealand Institute of Economic Research (NZIER),New Zealand Institute of Economic Research (NZIER),New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Didymosphenia geminate economic impact assessment.pdf
114,"Economic Assessment on the Impact of the Gum Leaf Skeletoniser, Uraba Lugens in New Zealand",2003,Phil Journeaux,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,"Economic Assessment on the Impact Of The Gum Leaf Skeletoniser, Uraba Lugens in New Zealand.pdf"
115,Economics of Animal Health Production,2009,Jonathan Rushton,CAB International (CABI),CAB International (CABI),CAB International (CABI),,,,EN,Economic of Animal Health and Production.pdf
116,Economics of Official Veterinary Services : The Case of Latin America,2007,Marcos Gallacher,Universidad del CEMA - Argentina,Universidad del CEMA - Argentina,Universidad del CEMA - Argentina,,,,EN,Economics of Official Veterinary Services - The Case of Latin America.pdf
117,Effects of food safety standards on the livelihoods of actors in the Nile Perch value chain in Tanzania,2007,Reuben M.J. Kadigi; Ntengua S.Y. Mdoe; Ephraim Senkondo; Zena Mpenda,Danish Institute for International Studies (DIIS),Danish Institute for International Studies (DIIS),Danish Institute for International Studies (DIIS),Tanzania,Tanzanie,Tanzanía,EN,Effects of food safety standards on the livelihoods of actors in the Nile Perch value chain in Tanzania.pdf
118,Eighth Conference of Ministers Responsible For Animal Resources in Africa,2010,African Union Interafrican Bureau for Animal Resources (AU-IBAR),African Union,Union Africaine,Unión Africana,,,,EN,Eighth Conference of Ministers Responsible For Animal Resources in Africa.pdf
119,El Fortalecimiento de los Servicios Veterinarios,2008,José Joaquín Oreamuno Toledo,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,SP,El Fortalecimiento de los Servicios Veterinarios (OIE).pdf
120,Eliminación de las restricciones del lado de la oferta para fomentar la competitividad industrial: Establecimiento de una infraestructura de calidad en los países Centroamericanos y Panam�,2008,Otto Loesener Díaz,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,SP,Eliminación de las restricciones del lado de la oferta para fomentar la competitividad industrial.pdf
121,"Emerging challenges and new opportunities for addressing poverty, hunger and malnutrition through livestock research-related activities",,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),,,,EN,"Emerging challenges and new opportunities for addressing poverty, hunger and malnutrition through livestock research-relate.pdf"
122,Engineering Assessment of Ghana's Gamma Irradiation Facility,2006,Rocco Basson; West Africa Trade Hub (WATH),United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Ghana,Ghana,Ghana,EN,Engineering Assessment of Ghana's Gamma Irradiation Facility.pdf
123,Estimating the Constraints to Agricultural Trade of Developing Countries,2013,Evdokia Mo�sé; Claire Delpeuch; Silvia Sorescu; Novella Bottini; Arthur Foch,Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,OECD_EstimatingConstraintsAgrucultureExports.pdf
124,Estimating the global burden of foodborne disease,2009,Kathryn Senior,The Lancet,The Lancet,The Lancet,,,,EN,Estimating the global burden of foodborne disease.pdf
125,�tude de dimensionnement des dommages infligés � la production fruitière d'Afrique de l'Ouest par les mouches des fruits et Plan d'Action pour une réponse coordonnée au niveau régional,2008,J. Stonehouse; M. Ritchie; T. Paqui; M. Ndiaye; S. Tchibozo; R. Dabire; L. Jobe; M. Billah,European Union,Union européenne,Unión Europea,Benin; Burkina Faso;Côte d'Ivoire; Gambia; Ghana; Guinea; Mali; Senegal,Bénin; Burkina Faso; Côte d'Ivoire; Gambie; Ghana; Guinée; Mali; Sénégal,Benin; Burkina Faso; Côte d'Ivoire; Gambia; Ghana; Guinea; Malí; Senegal,FR,Scoping Study on the Damages Inflicted by Fruit Flies_Fr.pdf
126,"EU Support for SPS Capacity: SPS Proposal Development workshop Lusaka, 26-28 October 2010 ",2010,Moustapha Magumu,European Union,Union européenne,Unión Europea,,,,EN,"EU Support for SPS Capacity SPS Proposal Development workshop Lusaka, 26-28 October 2010.ppt"
127,European Food Safety Regulation and the Developing Countries - Regulatory Problems and the Possibilites,2009,Morten Broberg,Danish Institute for International Studies (DIIS),Danish Institute for International Studies (DIIS),Danish Institute for International Studies (DIIS),European Union,Union européenne,Unión Europea,EN,European Food Safety Regulation and the Developing Countries - Regulatory Problems and the Possibilites.pdf
128,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Bolivia,2008,Ernesto Mainegra; Francisco Muzio Llado; Mara Gonz�lez,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,"Bolivia, Plurinational State of","Bolivie, Etat Plurinational de","Bolivia, Estado Plurinacional de",SP,OIE_PVS_Bolivia_Dic-08.pdf
129,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Panam�,2007,Andres Schn�ller; Sabine Hutter,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Panama,Panama,Panam�,SP,OIE_PVS_Panama_Abr-07.pdf
130,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Paraguay,2009,Alejandro Thiermann; Mara Gonz�lez,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Paraguay,Paraguay,Paraguay,SP,OIE_PVS_Paraguay_Abr-09.pdf
131,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Uruguay,2008,Peter Fern�ndez; Eric Fermet-Quinet,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Uruguay,Uruguay,Uruguay,SP,OIE_PVS_Uruguay_Abr-08.pdf
132,Evaluating the Impact of Capacity Building Activities in the field of Food Quality and Safety,2007,Hilbert van der Werf,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Evaluating the Impact of Capacity Building Activities in the field of Food Quality and Safety.pdf
133,Evaluation des Performances des Services Vétérinaires (PVS) - Guinée,2007,Abdoulaye Bouna Niang; Hichem Bouzghaia,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Guinea,Guinée,Guinea,FR,OIE_PVS_Guinea_Mai-07.pdf
134,Evaluation des Performances des Services Vétérinaires (PVS) - Guinée-Bissau,2008,Pierre Primot; Nicolas Denormandie,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Guinea Bissau,Guinée-Bissau,Guinea-Bissau,FR,OIE_PVS_GuineeBissau_Avr-08.pdf
135,Evaluation des Performances des Services Vétérinaires (PVS) - République Centrafricaine,2010,"Nicolas Denormandie, Fatoumata Samaké Traoré, Nilton Antônio de Morais",World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Central African Republic,République centrafricaine,República Centroafricana,FR,OIE_PVS_RCA_Aou-10.pdf
136,Evaluation of Performance of Veterinary Services (PVS) - Belize,2009,Barry Stemshorn; Recaredo Ugarte; Linda Logan,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Belize,Belize,Belice,EN,OIE_PVS_Belize_May-09.pdf
137,Evaluation of Performance of Veterinary Services (PVS) - Botswana,2010,Eric Fermet-Quinet; Julia Punderson; Tomoko Ishibashi; Bonaventure Mtei,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Botswana,Botswana,Botswana,EN,OIE_PVS_Botswana_Apr-10.pdf
138,Evaluation of Performance of Veterinary Services (PVS) - Brazil,2007,Herbert Schneider; Moisés Vargas-Teran; Salomé Koloffon,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Brazil,Brésil,Brasil,EN,OIE_PVS_Brazil_Apr-07.pdf
139,Evaluation of Performance of Veterinary Services (PVS) - Namibia,2008,A. Thiermann; S. Hutter,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Namibia,Namibie,Namibia,EN,OIE_PVS_Namibia_Aug-08.pdf
140,Evaluation of Performance of Veterinary Services (PVS) - Nigeria,2007,Masiga; Diop,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Nigeria,Nigéria,Nigeria,EN,OIE_PVS_Nigeria_Aug-07.pdf
141,Evaluation of Performance of Veterinary Services (PVS) - Socialist Republic of Vietnam,2007,E. Fermet-Quinet; R. Jane; S. Forman,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Viet Nam,Viet Nam,Viet Nam,EN,OIE_PVS_Vietnam_May-07.pdf
142,Evaluation of Performance of Veterinary Services (PVS) - Swaziland,2007,Ghazi Yehia; Anne Mackenzie,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Swaziland,Swaziland,Swazilandia,EN,OIE_PVS_Swaziland_Sep-07.pdf
143,Evaluation of Performance of Veterinary Services (PVS) - Syria,2008,Hassan Aidaros; Fikri Abdessalam,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Syrian Arab Republic,République arabe syrienne,República �rabe Siria,EN,OIE_PVS_Syria_Jul-08.pdf
144,Exchanged Information on SPS Related Initiatives - Experience in Brazil,2009,Guilherme Antonio da Costa Junior,"Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil","Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil","Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil",Brazil,Brésil,Brasil,EN,Exchanged Information On SPS Related Initiatives - Experience In Brazil.pdf
145,Expanding the Focus of Cost-Benefit Analysis for Food Safety: A Multi-Factorial Risk Prioritization Approach,2008,Julie A. Caswell,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,EN,Expanding the Focus of Cost-Benefit Analysis for Food Safety - A Multi-Factorial Risk Prioritization Approach.pdf
146,Exporter pour mieux vivre,2008,Programme Initiative Pesticide (PIP),Programme Initiative Pesticide (PIP),Programme Initiative Pesticide (PIP),Programme Initiative Pesticide (PIP),Kenya,Kenya,Kenya,FR,Aide au développement durable - Exporter pour mieux vivre (Video - French).mht
147,Exporting to Scandinavia - A Guide for Exporters from Developing Countries,2005,Danish Import Promotion Office (DIPO); Norwegian Office of Import Promotion HSH; Swedish Chambers of Commerce,Danish International Development Assistance (DANIDA); Norwegian Agency for Development Cooperation (Norad); Swedish International Development Cooperation Agency (Sida),Danish International Development Assistance (DANIDA); Norwegian Agency for Development Cooperation (Norad); Swedish International Development Cooperation Agency (Sida),Danish International Development Assistance (DANIDA); Norwegian Agency for Development Cooperation (Norad); Swedish International Development Cooperation Agency (Sida),Denmark; Norway; Sweden,Danemark; Norvège; Suède,Dinamarca; Noruega; Suecia,EN,Exporting to Scandinavia - A Guide for Exporters from Developing Countries.pdf
148,FDA's International Food Safety Capacity Building Plan,2013,U.S. Food and Drug Administration (FDA),U.S. Food and Drug Administration (FDA),U.S. Food and Drug Administration (FDA),U.S. Food and Drug Administration (FDA),United States,Etats-Unis,Estados Unidos,EN,FDA_FSCapacityBuildingPlan_2013.pdf
149,FMD CBA Phase 2 - Integrated Findings Summary Report,2003,"Department for Environment, Food and Rural Affairs (Defra)","Department for Environment, Food and Rural Affairs (Defra)","Department for Environment, Food and Rural Affairs (Defra)","Department for Environment, Food and Rural Affairs (Defra)",United Kingdom,Royaume-Uni,Reino Unido,EN,FMD CBA Phase 2 - Integrated Findings Summary Report.pdf
150,Food and Climate change: A review of the effects of climate change on food within the remit of the Food Standards Agency,2010,Iain Lake; Asmaa Abdelhamid; Lee Hooper; et al,Food Standards Agency,Food Standards Agency,Food Standards Agency,,,,EN,Food and Climate change - A review of the effects of climate change on food within the remit of the Food Standards Agency.pdf
151,Food Safety and Agricultural Health Management in CIS Countries - Completing the Transition,2007,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Food Safety and Agricultural Health Management in CIS Countries - Completing the Transition.pdf
152,Food Safety and Agricultural Health Standards - Challenges and Opportunities for Developing Country Exports,2005,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Food safety and agricultural health standards - challenges and opportunities for developing country exports.pdf
153,Food Safety and Environmental Requirements in Export Markets - Friend or Foe for Producers of fruit and Vegetables in Asian Developing Countries?,2007,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),,,,EN,Food safety and environmental requirements in export markets.pdf
154,Food safety and international competitiveness - the case of beef,2003,Tanya Roberts,Elsevier Ltd,Elsevier Ltd,Elsevier Ltd,Australia; Canada; United Kingdom; United States,Australie; Canada; Royaume-Uni; Etats-Unis,Australia; Canad�; Reino Unido; Estados Unidos,EN,Food safety and international competitiveness - the case of beef.pdf
155,Food safety incentives in a changing world system,2002,Laurian Unnevehr; Tanya Roberts,Elsevier Ltd,Elsevier Ltd,Elsevier Ltd,,,,EN,Food safety incentives in a changing world system.pdf
156,"Food Safety, Private Standards Schemes and Trade: The Implications of the FDA Food Safety Modernization Act",2012,John Humphrey,Institute of Development Studies (IDS),Institute of Development Studies (IDS),Institute of Development Studies (IDS),,,,EN,IDSWorkingPaper403_USFSMA.pdf
157,Food Sector Transformation and Standards in Zambia - Small Holder Farmer Participation in the Tomato Sector,2008,"Development Alternatives Inc. (DAI), Washington",United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Zambia,Zambie,Zambia,EN,Food Sector Transformation and Standards in Zambia - Small Holder Farmer Participation in the Tomato Sector.pdf
158,"Foot and Mouth Disease - The Impact on Livestock, Livelihoods, Trade and Opportunities for Conservation",2004,Carolyn C. Benigno; Ronello C. Abila,Food and Agriculture Organization of the United Nations (FAO); World Organisation for Animal Health (OIE),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); Organisation mondiale de la santé animale (OIE) ,Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); Organización Mundial de Sanidad Animal (OIE) ,,,,EN,"Foot and Mouth Disease - The Impact on Livestock, Livelihoods, Trade and Opportunities for Conservation.ppt"
159,Fruit Fly Management Activities in East Africa - State of the Art,2009,Sunday Ekesi,African Insect Science for Food and Health (ICIPE),African Insect Science for Food and Health (ICIPE),African Insect Science for Food and Health (ICIPE),,,,EN,Fruit Fly Management Activities in East Africa - State of the Art.pdf
160,Fruit-fly research yields impacts in the Asia-Pacific region,2008,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),,,,EN,Fruit-fly research yields impacts in the Asia-Pacific region.pdf
161,Fruitful Returns From Fruit Fly Management Project,2009,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),,,,EN,Fruitful Returns From Fruit Fly Management Project.htm
162,Garantía de la Inocuidad y Calidad de los Alimentos,2003,Food and Agriculture Organisation (FAO); World Health Organization (WHO),Food and Agriculture Organization of the United Nations (FAO); World Health Organization (WHO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); Organisation mondiale de la Santé (OMS),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); Organización Mundial de la Salud (OMS),,,,SP,GARANTÍA DE LA INOCUIDAD Y CALIDAD DE LOS ALIMENTOS.pdf
163,Garantir la Sécurité Sanitaire et la Qualité des Aliments,2003,Food and Agriculture Organization of the United Nations (FAO); World Health Organization (WHO),Food and Agriculture Organization of the United Nations (FAO); World Health Organization (WHO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); Organisation mondiale de la Santé (OMS),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); Organización Mundial de la Salud (OMS),,,,FR,Garantir La Sécurité Sanitaire Et La Qualité Des Aliments.pdf
164,Global-to-Local Food Safety,2007,Michigan State University,Michigan State University,Michigan State University,Michigan State University,,,,EN,Global-to-Local Food Safety.pdf
165,"Governance, coordination and distribution among commodity value chains",2007,Food and Agriculture Organization of the United Nations (FAO) ,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,"Governance, coordination and distribution among commodity value chains.pdf"
166,Growing Mali's Mango Exports: Linking Farmers to Markets through Innovations in the Value Chain,2010,Yéyandé Sangho; Patrick Labaste; Christophe Ravry,The World Bank,La Banque mondiale,El Banco Mundial ,Mali,Mali,Malí,EN,Growing Mali's Mango Exports - Linking Farmers to Markets through Innovations in the Value Chain.pdf
167,Guidelines for the routine collection of capture fishery data,1999,Food and Agriculture Organisation (FAO); DANIDA Expert Consultation,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Guidelines for the routine collection of capture fishery data.pdf
168,Gypsy Moth Slow-the-Spread Project : Environmental Assessment,2008,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States,Etats-Unis,Estados Unidos,EN,Gypsy Moth Slow-the-Spread Project.pdf
169,Handbook of Good Practices for Participation in Codex Alimentarius Meetings,2009,Gabriela Catalani,Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,Handbook of Good Practices for Participation in Codex Alimentarius Meetings.pdf
170,Handbook of Good Practices for Participation in Meetings of the International Plant Protection Convention (IPPC),2009,Beatriz Melchó,Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,Handbook of Good Practices for Participation in Meetings of the International Plant Protection Convention (IPPC).pdf
171,Handbook of Good Practices for Participation WTO Committee on Sanitary and Phytosanitary Measures,2010,Juan Maximiliano Moreno,Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,Handbook of Good Practices for Participation WTO Committee on SPS Measures.pdf
172,Horticultural Exports from AGOA Countries to the U.S. Challenges and Considerations,2010,Charlotte Hebebrand,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),,,,EN,Horticultural Exports from AGOA Countries to the U.S. Challenges and Considerations.pdf
173,Identification of risks and management of invasive alien species using the IPPC framework,2003,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),,,,EN,Identification of risks and management of invasive alien species using the IPPC framework.pdf
174,IITA Annual Report 2008-09,2008,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),,,,EN,IITA Annual Report 2008-09.pdf
175,IITA Annual Report 2009-10,2009,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),,,,EN,IITA Annual Report 2009-10.pdf
