Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
96,Costs and benefits in food quality Systems : concepts and a multi-criteria evaluation approach,2007,Stephanie Krieger; Gerhard Schiefer and Carlos A. da Silva,Food and Agriculture Organization (FAO),Food Safety,,,,EN,Costs and benefits in food quality Systems - concepts and a multi-criteria evaluation approach.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Costs and benefits in food quality Systems : concepts and a multi-criteria evaluation approach,Costs and benefits in food quality Systems : concepts and a multi-criteria evaluation approach,Other,Autres,Otro
97,"Costs of Agri?Food Safety and SPS Compliance - United Republic of Tanzania, Mozambique and Guinea - Tropical Fruit",2005,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Food Safety,Guinea,Guinea,Guinée,EN,"Costs of Agri?Food Safety and SPS Compliance - United Republic of Tanzania, Mozambique and Guinea - Tropical Fruit.pdf",United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),"Costs of Agri?Food Safety and SPS Compliance - United Republic of Tanzania, Mozambique and Guinea - Tropical Fruit","Costs of Agri?Food Safety and SPS Compliance - United Republic of Tanzania, Mozambique and Guinea - Tropical Fruit",Report,Rapport,Reporte
98,Cost of National Prevention Systems for Animal Diseases and Zoonoses in Developing and Transition Countries,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,Costs of national prevention systems for animal diseases and zoonoses in developing and transition countries (powerpoint).pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Cost of National Prevention Systems for Animal Diseases and Zoonoses in Developing and Transition Countries,Cost of National Prevention Systems for Animal Diseases and Zoonoses in Developing and Transition Countries,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
99,Cross border and HPAI risk management - Importance of understanding the poultry sector in Yunnan province with regards to risk,,Nicoline de Haan; Johnathan Rushton,University of London,Animal Health,China,China,Chine,EN,Cross border and HPAI risk management.tif,University of London,University of London,Cross border and HPAI risk management - Importance of understanding the poultry sector in Yunnan province with regards to risk,Cross border and HPAI risk management - Importance of understanding the poultry sector in Yunnan province with regards to risk,Report,Rapport,Reporte
100,Deciphering OIE Animal Disease Reports,,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,Deciphering OIE Animal Disease Reports.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Deciphering OIE Animal Disease Reports,Deciphering OIE Animal Disease Reports,Paper,Papier,Papel
101,Deciphering OIE's standard setting process,,World Orgnisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,Deciphering OIE’s standard setting process.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Deciphering OIE's standard setting process,Deciphering OIE's standard setting process,Report,Rapport,Reporte
102,Designing and Implementing Trade Facilitation in Asia and the Pacific,2009,Asian Development Bank (ADB),Asian Development Bank (ADB),SPS-General,,,,EN,Designing and Implementing Trade Facilitation in Asia and the Pacific.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Designing and Implementing Trade Facilitation in Asia and the Pacific,Designing and Implementing Trade Facilitation in Asia and the Pacific,Paper,Papier,Papel
103,Developing a Methodology for Impact Evaluation At UNIDO: Possible Routes And Options,2008,Lilit Melikyan,United Nations Industrial Development Organization (UNIDO),SPS-General,,,,EN,DEVELOPING A METHODOLOGY FOR IMPACT EVALUATION AT UNIDO - POSSIBLE ROUTES AND OPTIONS.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Developing a Methodology for Impact Evaluation At UNIDO: Possible Routes And Options,Developing a Methodology for Impact Evaluation At UNIDO: Possible Routes And Options,Paper,Papier,Papel
104,Development of an Effective Phytosanitary Regulatory System Framework for WTO SPS Compliance,2009,M. Theyse,University of Pretoria (UP),Plant Health,Malawi,Malawi,Malawi,EN,Development of an Effective Phytosanitary Regulatory System Framework for WTO SPS Compliance.pdf,University of Pretoria (UP),University of Pretoria (UP),Development of an Effective Phytosanitary Regulatory System Framework for WTO SPS Compliance,Development of an Effective Phytosanitary Regulatory System Framework for WTO SPS Compliance,Paper,Papier,Papel
105,Didymosphenia geminate economic impact assessment,2006,Johannah Branson,New Zealand Institute of Economic Research (NZIER),Plant Health,New Zealand,Nueva Zelandia,Nouvelle-Zélande,EN,Didymosphenia geminate economic impact assessment.pdf,New Zealand Institute of Economic Research (NZIER),New Zealand Institute of Economic Research (NZIER),Didymosphenia geminate economic impact assessment,Didymosphenia geminate economic impact assessment,Paper,Papier,Papel
106,Agricultural Trade Adjustments: Lessons from SADC experiences,2010,P. Goodison; V. Fautrel; S. Bilal; S. Colin,Centre technique de cooperation agricole et rurale (CTA),SPS-General,,,,EN,Discussion Paper 95 - Agricultural Trade Adjustments - Lessons from SADC experiences.pdf,Centre technique de cooperation agricole et rurale (CTA),Centre technique de cooperation agricole et rurale (CTA),Agricultural Trade Adjustments: Lessons from SADC experiences,Agricultural Trade Adjustments: Lessons from SADC experiences,Paper,Papier,Papel
107,"Desempeño, visión y estrategia (DVE) para medidas sanitarias y fitosanitarias: una visión institucional",2008,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),SPS-General,,,,SP,DVE_MSF_Espanol.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Desempeño, visión y estrategia (DVE) para medidas sanitarias y fitosanitarias: una visión institucional","Desempeño, visión y estrategia (DVE) para medidas sanitarias y fitosanitarias: una visión institucional",,,
108,"Desempeño, visión y estrategia (DVE) para organizaciones nacionales de protección fitosanitarias",2007,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Plant Health,,,,SP,DVE-Fitosanitario.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Desempeño, visión y estrategia (DVE) para organizaciones nacionales de protección fitosanitarias","Desempeño, visión y estrategia (DVE) para organizaciones nacionales de protección fitosanitarias",,,
109,"Desempeño, visión y estrategia (DVE) para servicios nacionales de inocuidad de alimentos",2006,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Food Safety,,,,SP,DVE-inocuidad.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Desempeño, visión y estrategia (DVE) para servicios nacionales de inocuidad de alimentos","Desempeño, visión y estrategia (DVE) para servicios nacionales de inocuidad de alimentos",,,
110,"Desempeño, visión y estrategia (DVE) para servicios veterinarios nacionales",2008,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Animal Health,,,,SP,DVE-SVN-ESP-2.1.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Desempeño, visión y estrategia (DVE) para servicios veterinarios nacionales","Desempeño, visión y estrategia (DVE) para servicios veterinarios nacionales",,,
111,"Economic Assessment on the Impact of the Gum Leaf Skeletoniser, Uraba Lugens in New Zealand",2003,Phil Journeaux,Ministry of Agriculture and Forestry (MAF) of New Zealand,Plant Health,New Zealand,Nueva Zelandia,Nouvelle-Zélande,EN,"Economic Assessment on the Impact Of The Gum Leaf Skeletoniser, Uraba Lugens in New Zealand.pdf",Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,"Economic Assessment on the Impact of the Gum Leaf Skeletoniser, Uraba Lugens in New Zealand","Economic Assessment on the Impact of the Gum Leaf Skeletoniser, Uraba Lugens in New Zealand",Other,Autres,Otro
112,Economics of Animal Health Production,2009,Jonathan Rushton,CAB International (CABI),Animal Health,,,,EN,Economic of Animal Health and Production.pdf,CAB International (CABI),CAB International (CABI),Economics of Animal Health Production,Economics of Animal Health Production,Other,Autres,Otro
113,Economics of Official Veterinary Services : The Case of Latin America,2007,Marcos Gallacher,Universidad del CEMA - Argentina,Animal Health,,,,EN,Economics of Official Veterinary Services - The Case of Latin America.pdf,Universidad del CEMA - Argentina,Universidad del CEMA - Argentina,Economics of Official Veterinary Services : The Case of Latin America,Economics of Official Veterinary Services : The Case of Latin America,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
114,Effects of food safety standards on the livelihoods of actors in the Nile Perch value chain in Tanzania,2007,Reuben M.J. Kadigi; Ntengua S.Y. Mdoe; Ephraim Senkondo; Zena Mpenda,Danish Institute for International Studies (DIIS),Food Safety,Tanzania,Tanzanía,Tanzanie,EN,Effects of food safety standards on the livelihoods of actors in the Nile Perch value chain in Tanzania.pdf,Danish Institute for International Studies (DIIS),Danish Institute for International Studies (DIIS),Effects of food safety standards on the livelihoods of actors in the Nile Perch value chain in Tanzania,Effects of food safety standards on the livelihoods of actors in the Nile Perch value chain in Tanzania,Other,Autres,Otro
115,Eighth Conference of Ministers Responsible For Animal Resources in Africa,2010,African Union Interafrican Bureau for Animal Resources (AU-IBAR),African Union,Animal Health,,,,EN,Eighth Conference of Ministers Responsible For Animal Resources in Africa.pdf,African Union,African Union,Eighth Conference of Ministers Responsible For Animal Resources in Africa,Eighth Conference of Ministers Responsible For Animal Resources in Africa,Paper,Papier,Papel
116,El Fortalecimiento de los Servicios Veterinarios,2008,José Joaquín Oreamuno Toledo,World Organisation for Animal Health (OIE),Animal Health,,,,SP,El Fortalecimiento de los Servicios Veterinarios (OIE).pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),El Fortalecimiento de los Servicios Veterinarios,El Fortalecimiento de los Servicios Veterinarios,Other,Autres,Otro
117,Eliminación de las restricciones del lado de la oferta para fomentar la competitividad industrial: Establecimiento de una infraestructura de calidad en los países Centroamericanos y Panamá,2008,Otto Loesener Díaz,United Nations Industrial Development Organization (UNIDO),SPS-General,,,,SP,Eliminación de las restricciones del lado de la oferta para fomentar la competitividad industrial.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Eliminación de las restricciones del lado de la oferta para fomentar la competitividad industrial: Establecimiento de una infraestructura de calidad en los países Centroamericanos y Panamá,Eliminación de las restricciones del lado de la oferta para fomentar la competitividad industrial: Establecimiento de una infraestructura de calidad en los países Centroamericanos y Panamá,Paper,Papier,Papel
118,"Emerging challenges and new opportunities for addressing poverty, hunger and malnutrition through livestock research-related activities",,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),Animal Health,,,,EN,"Emerging challenges and new opportunities for addressing poverty, hunger and malnutrition through livestock research-relate.pdf",International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),"Emerging challenges and new opportunities for addressing poverty, hunger and malnutrition through livestock research-related activities","Emerging challenges and new opportunities for addressing poverty, hunger and malnutrition through livestock research-related activities",Report,Rapport,Reporte
119,Engineering Assessment of Ghana's Gamma Irradiation Facility,2006,Rocco Basson; West Africa Trade Hub (WATH),United States Agency for International Development (USAID),SPS-General,Ghana,Ghana,Ghana,EN,Engineering Assessment of Ghana’s Gamma Irradiation Facility.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),Engineering Assessment of Ghana's Gamma Irradiation Facility,Engineering Assessment of Ghana's Gamma Irradiation Facility,Paper,Papier,Papel
120,Estimating the global burden of foodborne disease,2009,Kathryn Senior,The Lancet,Food Safety,,,,EN,Estimating the global burden of foodborne disease.pdf,The Lancet,The Lancet,Estimating the global burden of foodborne disease,Estimating the global burden of foodborne disease,Newsletter,Newsletter,Newsletter
121,Estimating the Global Burden of Foodborne Diseases,,World Health Organization (WHO),World Health Organization (WHO),Food Safety,,,,EN,Estimating the Global Burden of Foodborne Diseases.pdf,World Health Organization (WHO),World Health Organization (WHO),Estimating the Global Burden of Foodborne Diseases,Estimating the Global Burden of Foodborne Diseases,Other,Autres,Otro
122,European Food Safety Regulation and the Developing Countries - Regulatory Problems and the Possibilites,2009,Morten Broberg,Danish Institute for International Studies (DIIS),Food Safety,European Union,Unión Europea,Union européenne,EN,European Food Safety Regulation and the Developing Countries - Regulatory Problems and the Possibilites.pdf,Danish Institute for International Studies (DIIS),Danish Institute for International Studies (DIIS),European Food Safety Regulation and the Developing Countries - Regulatory Problems and the Possibilites,European Food Safety Regulation and the Developing Countries - Regulatory Problems and the Possibilites,Paper,Papier,Papel
123,Evaluating the Impact of Capacity Building Activities in the field of Food Quality and Safety,2007,Hilbert van der Werf,Food and Agriculture Organization (FAO),Food Safety,,,,EN,Evaluating the Impact of Capacity Building Activities in the field of Food Quality and Safety.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Evaluating the Impact of Capacity Building Activities in the field of Food Quality and Safety,Evaluating the Impact of Capacity Building Activities in the field of Food Quality and Safety,Paper,Papier,Papel
124,Exchanged Information on SPS Related Initiatives - Experience in Brazil,2009,Guilherme Antonio da Costa Junior,"Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil",SPS-General,Brazil,Brasil,Brésil,EN,Exchanged Information On SPS Related Initiatives - Experience In Brazil.pdf,"Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil","Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil",Exchanged Information on SPS Related Initiatives - Experience in Brazil,Exchanged Information on SPS Related Initiatives - Experience in Brazil,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
125,Expanding the Focus of Cost-Benefit Analysis for Food Safety: A Multi-Factorial Risk Prioritization Approach,2008,Julie A. Caswell,University of Massachusetts Amherst,Food Safety,,,,EN,Expanding the Focus of Cost-Benefit Analysis for Food Safety - A Multi-Factorial Risk Prioritization Approach.pdf,University of Massachusetts Amherst,University of Massachusetts Amherst,Expanding the Focus of Cost-Benefit Analysis for Food Safety: A Multi-Factorial Risk Prioritization Approach,Expanding the Focus of Cost-Benefit Analysis for Food Safety: A Multi-Factorial Risk Prioritization Approach,Paper,Papier,Papel
126,Exporting to Scandinavia - A Guide for Exporters from Developing Countries,2005,Danish Import Promotion Office DIPO; Norwegian Office of Import Promotion HSH; Swedish Chambers of Commerce,Danish International Development Assistance (DANIDA),SPS-General,Denmark,Dinamarca,Danemark,EN,Exporting to Scandinavia - A Guide for Exporters from Developing Countries.pdf,Danish International Development Assistance (DANIDA),Danish International Development Assistance (DANIDA),Exporting to Scandinavia - A Guide for Exporters from Developing Countries,Exporting to Scandinavia - A Guide for Exporters from Developing Countries,Other,Autres,Otro
127,FMD CBA Phase 2 - Integrated Findings Summary Report,2003,"Department for Environment, Food and Rural Affairs (Defra)","Department for the Environment, Food and Rural Affairs (Defra)",Animal Health,United Kingdom,Reino Unido,Royaume-Uni,EN,FMD CBA Phase 2 - Integrated Findings Summary Report.pdf,"Department for the Environment, Food and Rural Affairs (Defra)","Department for the Environment, Food and Rural Affairs (Defra)",FMD CBA Phase 2 - Integrated Findings Summary Report,FMD CBA Phase 2 - Integrated Findings Summary Report,Report,Rapport,Reporte
128,Food and Climate change: A review of the effects of climate change on food within the remit of the Food Standards Agency,2010,Iain Lake; Asmaa Abdelhamid; Lee Hooper; et al,Food Standards Agency,Food Safety,,,,EN,Food and Climate change - A review of the effects of climate change on food within the remit of the Food Standards Agency.pdf,Food Standards Agency,Food Standards Agency,Food and Climate change: A review of the effects of climate change on food within the remit of the Food Standards Agency,Food and Climate change: A review of the effects of climate change on food within the remit of the Food Standards Agency,Report,Rapport,Reporte
129,Food Safety and Agricultural Health Management in CIS Countries - Completing the Transition,2007,The World Bank,The World Bank,Food Safety,,,,EN,Food Safety and Agricultural Health Management in CIS Countries - Completing the Transition.pdf,The World Bank,The World Bank,Food Safety and Agricultural Health Management in CIS Countries - Completing the Transition,Food Safety and Agricultural Health Management in CIS Countries - Completing the Transition,Report,Rapport,Reporte
130,Food Safety and Agricultural Health Standards - Challenges and Opportunities for Developing Country Exports,2005,The World Bank,The World Bank,Food Safety,,,,EN,Food safety and agricultural health standards - challenges and opportunities for developing country exports.pdf,The World Bank,The World Bank,Food Safety and Agricultural Health Standards - Challenges and Opportunities for Developing Country Exports,Food Safety and Agricultural Health Standards - Challenges and Opportunities for Developing Country Exports,Other,Autres,Otro
131,Food Safety and Environmental Requirements in Export Markets - Friend or Foe for Producers of fruit and Vegetables in Asian Developing Countries?,2007,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Food Safety,,,,EN,Food safety and environmental requirements in export markets.pdf,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Food Safety and Environmental Requirements in Export Markets - Friend or Foe for Producers of fruit and Vegetables in Asian Developing Countries?,Food Safety and Environmental Requirements in Export Markets - Friend or Foe for Producers of fruit and Vegetables in Asian Developing Countries?,Other,Autres,Otro
132,Food safety and international competitiveness - the case of beef,2003,Tanya Roberts,Elsevier Ltd,Food Safety,Australia,Australia,Australie,EN,Food safety and international competitiveness - the case of beef.pdf,Elsevier Ltd,Elsevier Ltd,Food safety and international competitiveness - the case of beef,Food safety and international competitiveness - the case of beef,Other,Autres,Otro
133,Food safety incentives in a changing world system,2002,Laurian Unnevehr and Tanya Roberts,Elsevier Ltd,Food Safety,,,,EN,Food safety incentives in a changing world system.pdf,Elsevier Ltd,Elsevier Ltd,Food safety incentives in a changing world system,Food safety incentives in a changing world system,Journal Article,Journal Article,Journal Arcticle
134,Food Sector Transformation and Standards in Zambia - Small Holder Farmer Participation in the Tomato Sector,2008,"Development Alternatives Inc. (DAI), Washington",United States Agency for International Development (USAID),Food Safety,Zambia,Zambia,Zambie,EN,Food Sector Transformation and Standards in Zambia - Small Holder Farmer Participation in the Tomato Sector.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),Food Sector Transformation and Standards in Zambia - Small Holder Farmer Participation in the Tomato Sector,Food Sector Transformation and Standards in Zambia - Small Holder Farmer Participation in the Tomato Sector,Paper,Papier,Papel
135,Fruit Fly Management Activities in East Africa - State of the Art,2009,Sunday Ekesi,African Insect Science for Food and Health (ICIPE),Plant Health,,,,EN,Fruit Fly Management Activities in East Africa - State of the Art.pdf,African Insect Science for Food and Health (ICIPE),African Insect Science for Food and Health (ICIPE),Fruit Fly Management Activities in East Africa - State of the Art,Fruit Fly Management Activities in East Africa - State of the Art,Paper,Papier,Papel
136,Fruit-fly research yields impacts in the Asia–Pacific region,2008,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Plant Health,,,,EN,Fruit-fly research yields impacts in the Asia–Pacific region.pdf,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Fruit-fly research yields impacts in the Asia–Pacific region,Fruit-fly research yields impacts in the Asia–Pacific region,Other,Autres,Otro
137,Garantía de la Inocuidad y Calidad de los Alimentos,2003,Food and Agriculture Organisation (FAO) and World Health Organization (WHO),Food and Agriculture Organization (FAO),Food Safety,,,,SP,GARANTÍA DE LA INOCUIDAD Y CALIDAD DE LOS ALIMENTOS.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Garantía de la Inocuidad y Calidad de los Alimentos,Garantía de la Inocuidad y Calidad de los Alimentos,Report,Rapport,Reporte
138,Garantir la Sécurité Sanitaire et la Qualité des Aliments,2003,Food and Agriculture Organization (FAO) and World Health Organization (WHO),Food and Agriculture Organization (FAO),Food Safety,,,,FR,Garantir La Sécurité Sanitaire Et La Qualité Des Aliments.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Garantir la Sécurité Sanitaire et la Qualité des Aliments,Garantir la Sécurité Sanitaire et la Qualité des Aliments,Report,Rapport,Reporte
139,Global-to-Local Food Safety,2007,Michigan State University,Michigan State University,Food Safety,,,,EN,Global-to-Local Food Safety.pdf,Michigan State University,Michigan State University,Global-to-Local Food Safety,Global-to-Local Food Safety,Paper,Papier,Papel
140,"Governance, coordination and distribution among commodity value chains",2007,Food and Agriculture Organization (FAO) ,Food and Agriculture Organization (FAO),,,,,EN,"Governance, coordination and distribution among commodity value chains.pdf",Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),"Governance, coordination and distribution among commodity value chains","Governance, coordination and distribution among commodity value chains",Paper,Papier,Papel
141,Growing Mali’s Mango Exports: Linking Farmers to Markets through Innovations in the Value Chain,2010,Yéyandé Sangho; Patrick Labaste; Christophe Ravry,The World Bank,Food Safety,Mali,Malí,Mali,EN,Growing Mali’s Mango Exports - Linking Farmers to Markets through Innovations in the Value Chain.pdf,The World Bank,The World Bank,Growing Mali’s Mango Exports: Linking Farmers to Markets through Innovations in the Value Chain,Growing Mali’s Mango Exports: Linking Farmers to Markets through Innovations in the Value Chain,Report,Rapport,Reporte
142,Guidelines for the routine collection of capture fishery data,1999,Food and Agriculture Organisation (FAO) and DANIDA Expert Consultation,Food and Agriculture Organization (FAO),Animal Health,,,,EN,Guidelines for the routine collection of capture fishery data.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Guidelines for the routine collection of capture fishery data,Guidelines for the routine collection of capture fishery data,Report,Rapport,Reporte
143,Gypsy Moth Slow-the-Spread Project : Environmental Assessment,2008,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),Plant Health,United States,Estados Unidos,Etats-Unis,EN,Gypsy Moth Slow-the-Spread Project.pdf,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),Gypsy Moth Slow-the-Spread Project : Environmental Assessment,Gypsy Moth Slow-the-Spread Project : Environmental Assessment,Other,Autres,Otro
144,Handbook of Good Practices for Participation in Codex Alimentarius Meetings,2009,Gabriela Catalani,Inter-American Institute for Cooperation on Agriculture (IICA),Food Safety,,,,EN,Handbook of Good Practices for Participation in Codex Alimentarius Meetings.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Handbook of Good Practices for Participation in Codex Alimentarius Meetings,Handbook of Good Practices for Participation in Codex Alimentarius Meetings,Report,Rapport,Reporte
145,Handbook of Good Practices for Participation in Meetings of the International Plant Protection Convention (IPPC),2009,Beatriz Melchó,Inter-American Institute for Cooperation on Agriculture (IICA),Plant Health,,,,EN,Handbook of Good Practices for Participation in Meetings of the International Plant Protection Convention (IPPC).pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Handbook of Good Practices for Participation in Meetings of the International Plant Protection Convention (IPPC),Handbook of Good Practices for Participation in Meetings of the International Plant Protection Convention (IPPC),Report,Rapport,Reporte
146,Handbook of Good Practices for Participation WTO Committee on Sanitary and Phytosanitary Measures,2010,Juan Maximiliano Moreno,Inter-American Institute for Cooperation on Agriculture (IICA),SPS-General,,,,EN,Handbook of Good Practices for Participation WTO Committee on SPS Measures.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Handbook of Good Practices for Participation WTO Committee on Sanitary and Phytosanitary Measures,Handbook of Good Practices for Participation WTO Committee on Sanitary and Phytosanitary Measures,Other,Autres,Otro
147,Horticultural Exports from AGOA Countries to the U.S. Challenges and Considerations,2010,Charlotte Hebebrand,International Food and Agricultural Trade Policy Council (IPC),Food Safety,,,,EN,Horticultural Exports from AGOA Countries to the U.S. Challenges and Considerations.pdf,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),Horticultural Exports from AGOA Countries to the U.S. Challenges and Considerations,Horticultural Exports from AGOA Countries to the U.S. Challenges and Considerations,Other,Autres,Otro
148,Identification of risks and management of invasive alien species using the IPPC framework,2003,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),Plant Health,,,,EN,Identification of risks and management of invasive alien species using the IPPC framework.pdf,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),Identification of risks and management of invasive alien species using the IPPC framework,Identification of risks and management of invasive alien species using the IPPC framework,Other,Autres,Otro
149,IITA Annual Report 2008-09,2008,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),Plant Health,,,,EN,IITA Annual Report 2008-09.pdf,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),IITA Annual Report 2008-09,IITA Annual Report 2008-09,Paper,Papier,Papel
150,IITA Annual Report 2009-10,2009,International Institute of Tropical Agriculture,International Institute of Tropical Agriculture (IITA),Plant Health,,,,EN,IITA Annual Report 2009-10.pdf,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),IITA Annual Report 2009-10,IITA Annual Report 2009-10,Other,Autres,Otro
151,IITA Annual Report 2010,2010,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),Plant Health,,,,EN,IITA Annual Report 2010.pdf,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),IITA Annual Report 2010,IITA Annual Report 2010,Other,Autres,Otro
152,IITA Annual Report 2011,2011,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),Plant Health,,,,EN,IITA_AnnualReport2011.pdf,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),IITA Annual Report 2011,IITA Annual Report 2011,,,
153,Impact Assessment of SPS Measures: Citrus Black Spot (CBS) case study – South Africa ,2010,U Kleih; D Cassidy,Natural Resources Institute (NRI),Plant Health,South Africa,Sudáfrica,Afrique du Sud,EN,Impact Assessment of SPS Measures Citrus Black Spot (CBS) case study – South Africa.pdf,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Impact Assessment of SPS Measures: Citrus Black Spot (CBS) case study – South Africa ,Impact Assessment of SPS Measures: Citrus Black Spot (CBS) case study – South Africa ,Report,Rapport,Reporte
154,Impact of EurepGAP on Small?Scale Vegetable Growers in Zambia,2007,A. Graffham; J. MacGregor,International Institute for Environment and Development (IIED),Food Safety,Zambia,Zambia,Zambie,EN,Impact of EurepGAP on Small?Scale Vegetable Growers in Zambia.pdf,International Institute for Environment and Development (IIED),International Institute for Environment and Development (IIED),Impact of EurepGAP on Small?Scale Vegetable Growers in Zambia,Impact of EurepGAP on Small?Scale Vegetable Growers in Zambia,Other,Autres,Otro
155,Implementation of the OIE standards for Animal Transportation,,Peter Thornber,"Australian Department of Agriculture, Fisheries and Forestry",Animal Health,Australia,Australia,Australie,EN,Implementation of the OIE standards for Animal Transportation.pdf,"Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry",Implementation of the OIE standards for Animal Transportation,Implementation of the OIE standards for Animal Transportation,Paper,Papier,Papel
156,Implementing Agriculture for Development: World Bank Group Agriculture Action Plan: FY2010–2012,2009,The World Bank; International Finance Coorporation (IFC),The World Bank,SPS-General,,,,EN,Implementing Agriculture for Development WB Group Agriculture Action Plan 2010-2012.pdf,The World Bank,The World Bank,Implementing Agriculture for Development: World Bank Group Agriculture Action Plan: FY2010–2012,Implementing Agriculture for Development: World Bank Group Agriculture Action Plan: FY2010–2012,Other,Autres,Otro
